id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Oda;Medhurst;Lenny_Keebler87@hotmail.com;fearful aside;2024-03-25T11:05:05;29278;22729
2;Rubye;Jerde;Jabari39@gmail.com;psst right duh;2024-03-25T13:17:49;13380;15023
3;Laney;Medhurst;Lelah_Schmidt@gmail.com;provided cautiously;2024-03-26T02:39:50;20492;21868
4;Axel;Bernhard;Ana_Goodwin47@yahoo.com;why excepting slippers;2024-03-25T22:00:19;8642;16574
5;Aleen;Heathcote;Chauncey_Cole@gmail.com;shoo;2024-03-26T03:02:53;3222;5505
6;Jackson;Fay;Charley_Murphy40@hotmail.com;suppurate pride wherever;2024-03-26T02:25:15;12640;14602
7;Vinnie;West-Bechtelar;Jamil.Greenholt@yahoo.com;ouch engorge;2024-03-25T15:19:13;11650;10509
8;Mayra;Kihn;Nikolas.Hansen78@yahoo.com;who meanwhile;2024-03-26T03:16:28;20904;25191
9;Ernest;Hudson;Verla.Jenkins@yahoo.com;damp;2024-03-25T23:10:55;1703;14983
10;Cayla;Aufderhar;Madelyn_Bins42@hotmail.com;as amidst stop;2024-03-25T11:03:14;2600;14756
